ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
1,PLI004,1,Custom,Aluminium,,,
2,PLI006,1,Custom,Steel,Ewellix Makers in Motion,LJM12X600ESSC2,https://fr.rs-online.com/web/p/arbres-lineaires/2850368
3,PLI007-3,1,Custom,Aluminium,,,
4,PLI009,1,Custom,Aluminium,,,
5,PLI011,1,Custom,Aluminium,,,
6,PLI012,1,Custom,Aluminium,,,
7,PLI016,1,Custom,Aluminium,,,
8,Cable Zip,3,Custom,PLA,,,
9,Dozenal_ruler_30cm,1,Custom,PMMA,RS PRO,434-295,https://fr.rs-online.com/web/p/plaques-en-plastique/0434295
10,PROFILE_D_ETAYAGE_20x40x300,1,Off the shelf,,Bosch Rexroth,R987501076,https://fr.rs-online.com/web/p/tubes-et-profiles-de-structures/2123294
11,Slip Ring ROB-13063,1,Off the shelf,,SparkFun,ROB-13063,https://www.mouser.fr/ProductDetail/SparkFun/ROB-13063?qs=WyAARYrbSnYG6WyUmbLaEQ%3D%3D
12,Nema 23 - 45mm,1,Off the shelf,,Stepperonline,23HS18-2004H,https://www.omc-stepperonline.com/dual-shaft-nema-23-hollow-shaft-stepper-motor-bipolar-0-78-nm-110-5oz-in-2-0a-57x57x45mm-23hs18-2004h
13,Convertisseur 24-5V,1,Off the shelf,,,,https://www.amazon.fr/Convertisseur-Efficacit%C3%A9-R%C3%A9gulateur-Alimentation-dalimentation/dp/B07PCS4GDD/ref=sr_1_87?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=30RCBTVUKXRT4&keywords=DC-DC+24V+5V&qid=1655756257&s=electronics&sprefix=dc-dc+24v+5v%2Celectronics%2C57&sr=1-87
14,Huco 047_20,1,Off the shelf,,Huco,047.20.3535,https://fr.rs-online.com/web/p/accouplements/8090751
15,CUI_DEVICES_AMT132Q-0048-1200,1,Off the shelf,,CUI Devices,AMT132Q-V,https://eu.mouser.com/ProductDetail/CUI-Devices/AMT132Q-V?qs=uwxL4vQweFPKq8g8AKROyQ%3D%3D&utm_source=eciaauthorized&utm_medium=aggregator&utm_campaign=AMT132Q-V&utm_term=PartSearchImport&utm_content=CUI-Devices
16,AMT Cable,1,Off the shelf,,CUI Devices,AMT-18C-3-036,https://eu.mouser.com/ProductDetail/CUI-Devices/AMT-18C-3-036?qs=uwxL4vQweFO8BoSZjZIeCw%3D%3D&utm_source=eciaauthorized&utm_medium=aggregator&utm_campaign=AMT-18C-3-036&utm_term=AMT-18C-3-036&utm_content=CUI-Devices
17,AMT Viewpoint Programming Cable,1,Off the shelf,,CUI Devices,AMT-PGRM-18C,https://eu.mouser.com/ProductDetail/CUI-Devices/AMT-PGRM-18C?qs=uwxL4vQweFNRSOOxL4Kwiw%3D%3D&utm_source=eciaauthorized&utm_medium=aggregator&utm_campaign=AMT-PGRM-18C&utm_term=AMT-PGRM-18C&utm_content=CUI-Devices
18,SKF_P 12 TF,2,Off the shelf,,SKF,P 12 TF,https://fr.rs-online.com/web/p/paliers-et-paliers-a-semelle/3398710
19,MQCL-12-A,1,Off the shelf,,Ruland,MQCL-12-A,https://fr.rs-online.com/web/p/bagues-d-arret/7006705
20,M8x16 Socket Head,4,Off the shelf,,RS PRO,529-703,https://fr.rs-online.com/web/p/vis-a-six-pans/0529703
21,M5x10 Shoulder Screw,2,Off the shelf,,RS PRO,292-271,https://fr.rs-online.com/web/p/vis-epaulees/0292271
22,M3x12 Set Screw,1,Off the shelf,,RS PRO,"137-736
",https://fr.rs-online.com/web/p/vis-sans-tete/0137736
23,M3x20 Socket Head,2,Off the shelf,,RS PRO,293-319,https://fr.rs-online.com/web/p/vis-a-six-pans/0293319
24,M4x12 Socket Head,2,Off the shelf,,RS PRO,281-035,https://fr.rs-online.com/web/p/vis-a-six-pans/0281035
25,M5x18 Socket Head,10,Off the shelf,,Vis express,8420501818,https://www.vis-express.fr/fr/vmx-chc-a2-din-912-iso-4762/43534-942739-vis-metaux-inox-a2-chc-btr-5x18-3663072351202.html#/26-conditionnement-100_pieces
26,M5x16 Flat Head,4,Off the shelf,,RS PRO,232-8423,https://fr.rs-online.com/web/p/vis-a-six-pans/2328423
27,M6x40 Flat Head,2,Off the shelf,,RS PRO,917-6238,https://fr.rs-online.com/web/p/vis-a-six-pans/9176238
28,M5x8 Socket Head,2,Off the shelf,,RS PRO,660-4633,https://fr.rs-online.com/web/p/vis-a-six-pans/6604633
29,M5x8 Button Head,3,Off the shelf,,RS PRO,822-9114,https://fr.rs-online.com/web/p/vis-a-six-pans/8229114
30,Bosch nut,5,Off the shelf,,Bosch Rexroth,3842523142,https://fr.rs-online.com/web/p/raccords-pour-elements-de-structure/4667297
31,M3 Locknut,2,Off the shelf,,RS PRO,524-281,https://fr.rs-online.com/web/p/ecrous-hexagonaux/0524281
32,M4 Locknut,2,Off the shelf,,RS PRO,524-304,https://fr.rs-online.com/web/p/ecrous-hexagonaux/0524304
33,M5 Locknut,10,Off the shelf,,RS PRO,122-4371,https://fr.rs-online.com/web/p/ecrous-hexagonaux/1224371
,,,,,,,
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
6,PLI012,1,Custom,Aluminium,,,
11,Slip Ring ROB-13063,1,Off the shelf,,SparkFun,ROB-13063,https://www.mouser.fr/ProductDetail/SparkFun/ROB-13063?qs=WyAARYrbSnYG6WyUmbLaEQ%3D%3D
25,M5x18 Socket Head,2,Off the shelf,,Vis express,8420501818,https://www.vis-express.fr/fr/vmx-chc-a2-din-912-iso-4762/43534-942739-vis-metaux-inox-a2-chc-btr-5x18-3663072351202.html#/26-conditionnement-100_pieces
33,M5 Locknut,2,Off the shelf,,RS PRO,122-4371,https://fr.rs-online.com/web/p/ecrous-hexagonaux/1224371
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
5,PLI011,1,Custom,Aluminium,,,
12,Nema 23 - 45mm,1,Off the shelf,,Stepperonline,23HS18-2004H,https://www.omc-stepperonline.com/dual-shaft-nema-23-hollow-shaft-stepper-motor-bipolar-0-78-nm-110-5oz-in-2-0a-57x57x45mm-23hs18-2004h
25,M5x18 Socket Head,4,Off the shelf,,Vis express,8420501818,https://www.vis-express.fr/fr/vmx-chc-a2-din-912-iso-4762/43534-942739-vis-metaux-inox-a2-chc-btr-5x18-3663072351202.html#/26-conditionnement-100_pieces
33,M5 Locknut,4,Off the shelf,,RS PRO,122-4371,https://fr.rs-online.com/web/p/ecrous-hexagonaux/1224371
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
1,PLI004,1,Custom,Aluminium,,,
25,M5x18 Socket Head,4,Off the shelf,,Vis express,8420501818,https://www.vis-express.fr/fr/vmx-chc-a2-din-912-iso-4762/43534-942739-vis-metaux-inox-a2-chc-btr-5x18-3663072351202.html#/26-conditionnement-100_pieces
33,M5 Locknut,4,Off the shelf,,RS PRO,122-4371,https://fr.rs-online.com/web/p/ecrous-hexagonaux/1224371
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
13,Convertisseur 24-5V,1,Off the shelf,,,,https://www.amazon.fr/Convertisseur-Efficacit%C3%A9-R%C3%A9gulateur-Alimentation-dalimentation/dp/B07PCS4GDD/ref=sr_1_87?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=30RCBTVUKXRT4&keywords=DC-DC+24V+5V&qid=1655756257&s=electronics&sprefix=dc-dc+24v+5v%2Celectronics%2C57&sr=1-87
24,M4x12 Socket Head,2,Off the shelf,,RS PRO,281-035,https://fr.rs-online.com/web/p/vis-a-six-pans/0281035
32,M4 Locknut,2,Off the shelf,,RS PRO,524-304,https://fr.rs-online.com/web/p/ecrous-hexagonaux/0524304
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
14,Huco 047_20,1,Off the shelf,,Huco,047.20.3535,https://fr.rs-online.com/web/p/accouplements/8090751
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
3,PLI007-3,1,Custom,Aluminium,,,
7,PLI016,1,Custom,Aluminium,,,
15,CUI_DEVICES_AMT132Q-0048-1200,1,Off the shelf,,CUI Devices,AMT132Q-V,https://eu.mouser.com/ProductDetail/CUI-Devices/AMT132Q-V?qs=uwxL4vQweFPKq8g8AKROyQ%3D%3D&utm_source=eciaauthorized&utm_medium=aggregator&utm_campaign=AMT132Q-V&utm_term=PartSearchImport&utm_content=CUI-Devices
16,AMT Cable,1,Off the shelf,,CUI Devices,AMT-18C-3-036,https://eu.mouser.com/ProductDetail/CUI-Devices/AMT-18C-3-036?qs=uwxL4vQweFO8BoSZjZIeCw%3D%3D&utm_source=eciaauthorized&utm_medium=aggregator&utm_campaign=AMT-18C-3-036&utm_term=AMT-18C-3-036&utm_content=CUI-Devices
17,AMT Viewpoint Programming Cable,1,Off the shelf,,CUI Devices,AMT-PGRM-18C,https://eu.mouser.com/ProductDetail/CUI-Devices/AMT-PGRM-18C?qs=uwxL4vQweFNRSOOxL4Kwiw%3D%3D&utm_source=eciaauthorized&utm_medium=aggregator&utm_campaign=AMT-PGRM-18C&utm_term=AMT-PGRM-18C&utm_content=CUI-Devices
18,SKF_P 12 TF,2,Off the shelf,,SKF,P 12 TF,https://fr.rs-online.com/web/p/paliers-et-paliers-a-semelle/3398710
20,M8x16 Socket Head,4,Off the shelf,,RS PRO,529-703,https://fr.rs-online.com/web/p/vis-a-six-pans/0529703
21,M5x10 Shoulder Screw,2,Off the shelf,,RS PRO,292-271,https://fr.rs-online.com/web/p/vis-epaulees/0292271
23,M3x20 Socket Head,2,Off the shelf,,RS PRO,293-319,https://fr.rs-online.com/web/p/vis-a-six-pans/0293319
31,M3 Locknut,2,Off the shelf,,RS PRO,524-281,https://fr.rs-online.com/web/p/ecrous-hexagonaux/0524281
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
2,PLI006,1,Custom,Steel,Ewellix Makers in Motion,LJM12X600ESSC2,https://fr.rs-online.com/web/p/arbres-lineaires/2850368
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
26,M5x16 Flat Head,4,Off the shelf,,RS PRO,232-8423,https://fr.rs-online.com/web/p/vis-a-six-pans/2328423
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
4,PLI009,1,Custom,Aluminium,,,
10,PROFILE_D_ETAYAGE_20x40x300,1,Off the shelf,,Bosch Rexroth,R987501076,https://fr.rs-online.com/web/p/tubes-et-profiles-de-structures/2123294
19,MQCL-12-A,1,Off the shelf,,Ruland,MQCL-12-A,https://fr.rs-online.com/web/p/bagues-d-arret/7006705
22,M3x12 Set Screw,1,Off the shelf,,RS PRO,"137-736
",https://fr.rs-online.com/web/p/vis-sans-tete/0137736
27,M6x40 Flat Head,2,Off the shelf,,RS PRO,917-6238,https://fr.rs-online.com/web/p/vis-a-six-pans/9176238
,,,,,,,
,,,,,,,
ID,Name,Qty,Off the shelf / Custom,Material,Manufacturer,Serial number,Link
8,Cable Zip,3,Custom,PLA,,,
9,Dozenal_ruler_30cm,1,Custom,PMMA,RS PRO,434-295,https://fr.rs-online.com/web/p/plaques-en-plastique/0434295
28,M5x8 Socket Head,2,Off the shelf,,RS PRO,660-4633,https://fr.rs-online.com/web/p/vis-a-six-pans/6604633
29,M5x8 Button Head,3,Off the shelf,,RS PRO,822-9114,https://fr.rs-online.com/web/p/vis-a-six-pans/8229114
30,Bosch nut,5,Off the shelf,,Bosch Rexroth,3842523142,https://fr.rs-online.com/web/p/raccords-pour-elements-de-structure/4667297